CompanyName,JobRole,Experience,Skills,Industry
Angel One,"Data Scientist || Expertise in Machine learning, SQL, Data science",2-4 Yrs,"Data Science, Data Mining, Data Analytics, Machine Learning, Statistical modelling, Exploratory analysis, Deep Learning, Python",Financial services.
Cadient Talent Llp,Data Scientist,3-6 Yrs,"Data analysis, data science, Machine learning, Data processing, Deployment, Data analytics, data visualization, AWS",Human Resources
IBM,Data Scientist: Artificial Intelligence,5-10 Yrs,"python, data analytics, tableau, data visualization, machine learning algorithms, algorithms, natural language processing, machine learning",Technology
HNM Sourcing,Data Scientist,10-20 Yrs,"algorithms, python, data analytics, natural language processing, statistical techniques, data validation, machine learning, artificial intelligence",Textile and Apparel
Aster DM Healthcare,Data Scientist,3-5 Yrs,"Predictive Modeling, Machine Learning, Data Science, Statistical Modeling, Data Analytics, Power Bi, SME, Tableau",Healthcare
Seventh Contact Hiring Solutions,Data Scientist For Data Science Co based in Pune-US Shift.,5-10 Yrs,"Data Science, Machine Learning, Tensorflow, Pytorch, Text Analytics, Bert, Deep Learning, Python",Human Resources
Trimble,Data Engineer/Scientist,4-7 Yrs,"Computer science, Data analysis, data science, Product service, Cloud Services, Data analytics, big data, SQL",Technology
Trimble Applanix,Data Engineer/Scientist,2-6 Yrs,"Computer science, Data analysis, data science, Product service, Cloud Services, Data analytics, big data, SQL",Geospatial
IBM,Data Scientist: Artificial Intelligence,5-7 Yrs,"python, data analytics, tableau, data visualization, machine learning algorithms, algorithms, natural language processing, machine learning",Technology
IBM,Data Scientist: Artificial Intelligence,5-7 Yrs,"python, data analytics, artificial intelligence, tableau, ml, hive, algorithms, data analysis",Technology
IBM,Data Scientist: Artificial Intelligence,5-7 Yrs,"python, data analytics, artificial intelligence, tableau, ml, hive, algorithms, data analysis",Technology
Response Informatics,Data Science Engineer - Data Analyst/Scientist,1-5 Yrs,"Operations research, Analytical, Machine learning, SCALA, Algorithm development, Data Analyst, data visualization, Forecasting",Healthcare
Bigtapp,Lead Data Scientist - Predictive Modeling & Machine Learning,5-8 Yrs,"Machine Learning, Data Science, Predictive Modeling, NLP, Data Scientist, Data Analytics, Computer Vision, SQL","It's impossible to determine the industry of ""Bigtapp"" without more information."
IBM,Data Scientist: Artificial Intelligence,5-7 Yrs,"algorithms, python, data analytics, artificial intelligence, ml, data analysis, natural language processing, pyspark",Technology
HNM Sourcing,Data Scientist,3-5 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning",Textile and Apparel
IIFL Finance,Data Scientist,3-6 Yrs,"Data Science, Data Visualization, Data Analytics, Analytics, Data, Science",Financial Services
Arcelormittal,Data Scientist,12-18 Yrs,"Hadoop, Spark, Machine Learning, AWS, azure, Data Science, Big Data Analytics, Data Analytics",Steel
Kevin Process Technologies,Data Scientist - Ahmedabad Based Only (Pharma Domain Knowledge),3-8 Yrs,"Data Science, Data Analytics, Machine Learning, Deep Learning, Machine, DNS, Pharmaceutical, Data",Process Technology
Dimiour,Data Scientist,3-7 Yrs,"data analytics, natural language processing, data science, strong analytical skills, business solutions, machine learning, artificial intelligence, statistics","I do not have access to real-time information, including company databases. Therefore, I cannot provide information about the industry of a company named ""Dimiour""."
Praudyo Solutions Private Limited.,Data Scientist,3-7 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, data mining, predictive",IT
Biz2x,Data Scientist,4-7 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning",Software
Indusind Bank,Lead Data Scientist - Marketing Analytics,6-10 Yrs,"Data Science, Campaign Analytics, Statistical Data Analysis, Marketing Analytics, Model Development, Banking Analytics, Customer Analytics, Python",Banking
Sociante,Data Scientist,3-5 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, data mining, predictive",N/A
Spotflock Technologies,ML Engineer / Data Scientist,2-4 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning",Technology
Accion Labs,Data Engineer,5-8 Yrs,"Data Engineering, data engineer, ETL, Python, SQL, Data Science, GCP, Azure Cloud",Technology
Fleetx,Data Analyst,1-2 Yrs,"database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi",Logistics
Royal Cyber,Data Scientist,8-13 Yrs,"Data Science, Tensorflow, NLP, PyTorch, architecture design, Natural Language Processing, AI, Statistical Modeling",Information Technology (IT)
Headstrait,Data Scientist,1-5 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning",Healthcare
IBM,Data Scientist,6-10 Yrs,"python, ibm cloud, microsoft azure, microservices, aws, advance sql, data analysis, data analytics",Technology
People Powered Solutions,Hiring Data Scientist - Pune,3-6 Yrs,"python, data science, big data analytics, predictive modeling, Data Scientist, machine learning, business intelligence, sql",Human Resources
